classroom,capacity
ANH 302,80
ANH 304,40
ANH 305,50
ANH 313,80
ANH Auditorium,300
GLC 101,20
GLC 106,22
GLC 201,20
GLC 202,25
GLC 204,25
GLC 301,22
GLC 302,22
GLC 303,22
GLC 304,22
GLC 305,22
HCA 2Ãþ,50
HCA 3Ãþ,50
HDH 214,30
HDH 303A,40
HDH 303B,40
HDH 318,60
HDH 320A,40
HDH 320B,25
HDH 323C,25
HDH 324,25
HDH 326A,40
HDH 402,45
HDH 403,45
HDH 418B,60
HDH 419,25
HDH 424,45
HDH 425B,60
NMH 102B,30
NMH 103A,45
NMH 104A,25
NMH 105,80
NMH 106,80
NMH 107,40
NMH 108,35
NMH 109,30
NMH 110,40
NMH 202,30
NMH 204,30
NMH 205B,30
NMH 206B,30
NMH 207,40
NMH 208,30
NMH 209,30
NMH 307,70
NMH 309,40
NMH 310,40
NMH 402,40
NMH 403,60
NMH 404,65
NMH 405,40
NMH 406,40
NMH 410A,40
NMH 410B,40
NMH 411,40
NTH 113,40
NTH 115,40
NTH 118,40
NTH 120B,40
NTH 209A,30
NTH 211,20
NTH 212,30
NTH 213,20
NTH 214,50
NTH 215,20
NTH 217,20
NTH 218,30
NTH 220,20
NTH 310,40
NTH 311,40
NTH 313,60
NTH 411,40
NTH 412,45
NTH 413,35
NTH 414,30
NTH 417,30
OH 302,45
OH 305,80
OH 306,40
OH 401,60
OH 402,50
OH 403,80
OH 405,120
OH 420,30
OH 421,40
OH ¿µ»óÁ¤º¸½Ç,60
SU 101,60
SU 104,60
